id,version,bim360_account_id,bim360_project_id,permission_policy_type,subject_type,subject_oxygen_id,subject_acs_admin_id,resource_type,resource_id,effect,created_at,created_by,updated_at,updated_by,deleted_at,deleted_by
400f8ccd-c539-4101-a091-1a8bb5ef98ce,208096,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,inherited_permissions,project_admins,205081291,af8b83a7-47eb-4049-9275-c86b659a4b79,category,5c400683-ec83-4507-8535-a032453ead5f,allow,2024-08-22 06:23:25.459,7VZ2Q8PTMR3E7H96,2024-08-22 06:23:25.459,7VZ2Q8PTMR3E7H96,,
3037b449-5718-417f-b796-5ece39014570,208104,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,inherited_permissions,project_admins,205081291,af8b83a7-47eb-4049-9275-c86b659a4b79,category,7e016e85-faf9-4b68-a98a-d6fa7e44c4ca,allow,2024-08-22 06:47:40.893,7VZ2Q8PTMR3E7H96,2024-08-22 06:58:06.748,7VZ2Q8PTMR3E7H96,2024-08-22 06:58:06.743,7VZ2Q8PTMR3E7H96
7bc6adb1-ee21-498b-ade5-8b253cc75311,207133,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,view,role,205081289,1c32f585-7572-46d4-98c3-7bbb882c4945,project,af8b83a7-47eb-4049-9275-c86b659a4b79,allow,2024-08-16 05:28:20.691,7VZ2Q8PTMR3E7H96,2024-08-16 05:28:20.691,7VZ2Q8PTMR3E7H96,,
