tree_id,bim360_account_id,bim360_project_id,parent_id,id,name,order,created_at,updated_at
b3fd5f58-86ed-411c-a68f-05d8257311b2,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,,f170b1de-5ea8-4c5f-b3c3-eccaf3af36ca,Project,0,2022-08-24 01:58:21.546,2022-08-24 01:58:21.546
b3fd5f58-86ed-411c-a68f-05d8257311b2,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,f170b1de-5ea8-4c5f-b3c3-eccaf3af36ca,72b3f5fa-559b-465b-8578-df4126bd7049,Tower A,1,2024-08-22 06:49:09.32,2024-08-22 06:49:15.022331
b3fd5f58-86ed-411c-a68f-05d8257311b2,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,72b3f5fa-559b-465b-8578-df4126bd7049,cdabc243-cbc7-4c50-9280-63dda7e45a7e,Level 1,1,2024-08-22 06:49:18.68,2024-08-22 06:49:26.132689
