clash_group_id,bim360_account_id,bim360_project_id,issue_id,title,description,status,clash_test_id,model_set_id,created_at_model_set_version,created_at,created_by
edec49b5-e2b6-4e74-a0a4-81cec5f47ca7,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,a7656ea1-15f8-4221-8faf-212983ba12ea,Basic Wall [493612] and Surface [411452],1 clash between Basic Wall [493612] in rst_basic_sample_project.rvt - {3D} and rac_basic_sample_project.rvt - {3D},open,829cf175-2b59-497c-a0c9-cb52f79c0f23,cd2f8c3a-e5be-46d5-8dfd-d6ada2475426,1,2025-10-09 05:06:48.873873,7VZ2Q8PTMR3E7H96
22b2f247-9727-46e9-a010-858ebb5a9501,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,7bcf0a8a-a834-4163-9a06-c3d5cf5df79f,Surface [411452] and 15 other objects.,15 clashes between Surface [411452] in rac_basic_sample_project.rvt - {3D} and rst_basic_sample_project.rvt - {3D},open,829cf175-2b59-497c-a0c9-cb52f79c0f23,cd2f8c3a-e5be-46d5-8dfd-d6ada2475426,1,2025-10-10 01:55:53.233118,7VZ2Q8PTMR3E7H96
