id,bim360_account_id,bim360_project_id,review_id,versioned_urn,status,created_at,updated_at,round_num
b0a1c794-d2e0-40e7-a811-ad60a339295b,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,ad9f9300-0dd4-4fc1-9466-eb9f0d1903b2,urn:adsk.wipprod:fs.file:vf.LU5NESTSS6-g0HgwpmarBA?version=2,,2025-12-14 08:14:34.427,2025-12-14 08:14:34.427,1
1616b96c-cbed-4f8e-a268-d86766199467,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,48a02581-7d06-4c9e-9848-f8f395a1782a,urn:adsk.wipprod:fs.file:vf.GcoA0p4VShqFRm42zEi40w?version=2,"{""id"":""f44e623d-f04f-47fe-8195-efc43d1d985b"",""value"":""approved"",""label"":""Approved"",""approverUserId"":""7VZ2Q8PTMR3E7H96"",""approverUserName"":""Anthony Sertorio""}",2025-12-10 09:49:21.427,2025-12-14 23:41:49.43,1
