bim360_account_id,bim360_project_id,relationship_guid,item1_domain,item1_entitytype,item1_id,item2_domain,item2_entitytype,item2_id,created_on,deleted_on,is_deleted,is_service_owned
60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,7f63bef7-f547-4631-a063-60aa91ba9aa2,autodesk-bim360-asset,asset,20c5ae5a-3909-4a87-82f1-1aaab8303743,autodesk-bim360-issue,issue,caa6ec8a-ec7c-460f-8b23-7bbdd6ddbf89,2025-01-17 10:19:21.720152,,f,f
60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,8324aa41-68d2-4d49-9c21-5f121ff3a4ce,autodesk-bim360-issue,issue,4a6f635c-5cae-43a9-9f50-394ec0772bda,autodesk-bim360-asset,asset,20c5ae5a-3909-4a87-82f1-1aaab8303743,2025-01-17 10:19:22.288307,,f,f
60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,5da6a0d3-fce6-4da2-837a-419cdce5b69f,autodesk-construction-form,form,c682d211-ad90-46c5-99e0-e4389489a68c,autodesk-construction-photo,photo,aafd4b57-a086-440a-a373-3306a966eb80,2025-01-17 11:09:08.217098,,f,f
60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,77c56453-e31f-4dca-8cda-e11a9c18e346,autodesk-construction-form,form,2ab9d01d-dfa3-4c9f-8b99-7aac41316122,autodesk-construction-photo,photo,aafd4b57-a086-440a-a373-3306a966eb80,2025-01-18 04:31:15.803437,,f,f
60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,bbea1d16-0edb-4790-a6fc-2d71ae4b8ad5,autodesk-bim360-issue,issue,4a6f635c-5cae-43a9-9f50-394ec0772bda,autodesk-bim360-cost,pco,88e09216-4d44-40d3-b021-29a64311cd97,2025-01-20 00:41:45.484774,2025-01-21 04:03:01.229612,t,f
60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,5983263f-cf24-4d2c-afca-1c6c0eabefb1,autodesk-bim360-cost,pco,88e09216-4d44-40d3-b021-29a64311cd97,autodesk-bim360-issue,issue,caa6ec8a-ec7c-460f-8b23-7bbdd6ddbf89,2025-01-20 00:41:45.915746,2025-01-21 04:03:01.229542,t,f
60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,83a4b575-a69b-41a6-aab7-5473b2dfe2e0,autodesk-bim360-cost,pco,88e09216-4d44-40d3-b021-29a64311cd97,autodesk-bim360-issue,issue,847a6ad8-d6d2-4284-b9b7-559f43a26fe5,2025-01-20 00:41:46.346413,2025-01-21 04:03:01.229423,t,f
60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,fe8f4cbd-0c04-4d1a-b479-c23ded7274ba,autodesk-bim360-cost,pco,88e09216-4d44-40d3-b021-29a64311cd97,autodesk-bim360-rfi,rfi,10b4ec58-1279-4886-a184-830d12c20eba,2025-01-20 00:41:46.916898,2025-01-21 04:03:01.228929,t,f
60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,3c6fb923-3266-4f16-ad05-b55cdb98bd87,autodesk-bim360-cost,pco,88e09216-4d44-40d3-b021-29a64311cd97,autodesk-bim360-rfi,rfi,4d9a66b8-08e7-4b0f-bf78-ce4e8ae9f7ad,2025-01-20 00:41:47.465776,2025-01-21 04:03:01.228451,t,f
60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,96b219a5-0adf-46b1-8c48-5063a00ceb9b,autodesk-bim360-issue,issue,7e5c4fc0-4ec9-4e01-96c0-435c80972ce8,autodesk-construction-markup,markupdocument,urn:adsk.wipprod:fs.file:vf.K0rEQEIlSj-d8oOKrdIYxw?version=4,2025-01-21 04:28:07.296081,,f,t
60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,3371c42e-f12c-4036-8733-94334778a14a,autodesk-bim360-issue,issue,7e5c4fc0-4ec9-4e01-96c0-435c80972ce8,autodesk-construction-markup,markup,158cb211-f85d-49a7-87c3-a56500d6ec40,2025-01-21 04:28:07.468557,,f,t
60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,d9f01212-c47d-488a-8498-d5db2c383e92,autodesk-bim360-cost,pco,11877494-904b-45cc-8541-1404f8ee30f4,autodesk-bim360-issue,issue,7e5c4fc0-4ec9-4e01-96c0-435c80972ce8,2025-01-21 04:12:58.136339,2025-01-21 04:49:51.334553,t,f
60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,c413f09e-fd9f-49df-acba-fbe93fa8b2f0,autodesk-bim360-cost,pco,11877494-904b-45cc-8541-1404f8ee30f4,autodesk-bim360-rfi,rfi,9585e512-3584-4ebd-a12c-4e8c01d76e54,2025-01-21 04:29:28.934664,2025-01-21 04:49:51.33439,t,f
60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,af89b1d1-a54e-48da-b511-2e1229b03f69,autodesk-bim360-issue,issue,7e5c4fc0-4ec9-4e01-96c0-435c80972ce8,autodesk-bim360-cost,pco,5c6f811f-2b0c-41b4-ae65-d8c22caea647,2025-01-21 04:57:00.52937,,f,f
60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,6a4dc1e7-aa91-4958-97af-5bd7af41bda7,autodesk-bim360-rfi,rfi,9585e512-3584-4ebd-a12c-4e8c01d76e54,autodesk-bim360-cost,pco,5c6f811f-2b0c-41b4-ae65-d8c22caea647,2025-01-21 04:57:02.218846,,f,f
