id,version,bim360_account_id,bim360_project_id,category_id,status_set_id,created_at,created_by,updated_at,updated_by,deleted_at,deleted_by,category_type,category_uid
45c03ff1-1a8f-4e47-8018-0a48035ef044,107422,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,34,fac59130-4f76-40f1-94fe-5916ed061a03,2024-03-06 02:50:00.333,7VZ2Q8PTMR3E7H96,2024-03-06 02:50:00.333,7VZ2Q8PTMR3E7H96,,,asset,
4e39a076-6c23-414c-855c-7ca7abe22610,107423,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,35,fac59130-4f76-40f1-94fe-5916ed061a03,2024-03-06 02:51:17.528,7VZ2Q8PTMR3E7H96,2024-03-06 02:51:17.528,7VZ2Q8PTMR3E7H96,,,asset,
aba92c83-336d-461e-a5dc-aef61bbb94ee,442,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,474796,fac59130-4f76-40f1-94fe-5916ed061a03,2024-08-16 04:34:21.01,7VZ2Q8PTMR3E7H96,2024-08-16 04:34:21.01,7VZ2Q8PTMR3E7H96,,,system,59abd8be-1af8-4fd2-a31e-1a3241cc2d32
