id,version,bim360_account_id,bim360_project_id,category_id,custom_attribute_id,created_at,created_by,updated_at,updated_by,deleted_at,deleted_by
8467cb5e-bcea-458f-848d-dbb42785a75e,6396763,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,38,b8a1e464-e572-4717-8d55-5d754fac1271,2025-12-15 03:05:54.026,7VZ2Q8PTMR3E7H96,2025-12-15 03:05:54.026,7VZ2Q8PTMR3E7H96,,
737e4a06-2f45-4eea-b658-b121beb7d9d9,6396764,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,38,cc0e0b29-aac4-4522-80a9-a3696ee4e0e3,2025-12-15 03:05:54.037,7VZ2Q8PTMR3E7H96,2025-12-15 03:05:54.037,7VZ2Q8PTMR3E7H96,,
5b0a8cfa-da53-48fe-8d06-ac8f3ba996ba,1576073,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,34,b8a1e464-e572-4717-8d55-5d754fac1271,2024-03-06 06:41:26.137,7VZ2Q8PTMR3E7H96,2024-03-06 06:41:26.137,7VZ2Q8PTMR3E7H96,,
