id,updated_at,predicted_at,building_component,building_component_keyword,bim360_account_id,bim360_project_id
6410951d-ed87-48cb-b18a-684982110087,2025-05-29 08:15:08.469,2025-05-29 09:21:36.280787,HVAC System,crac,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
f7e70b90-583b-494e-857f-4fd2b2e97041,2025-10-22 08:20:33.294,2025-10-22 09:23:56.974185,Wall,wall,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
9585e512-3584-4ebd-a12c-4e8c01d76e54,2025-01-21 04:19:36.467,2025-01-21 10:20:47.888396,Electrical System,power,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
4d9a66b8-08e7-4b0f-bf78-ce4e8ae9f7ad,2024-11-30 11:28:07.51,2024-11-30 12:32:58.881282,Foundation,foundation,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
