id,sequence_id,instance_id,bim360_account_id,bim360_project_id,workflow_id,status,review_name,memo,created_by,next_due_date,created_at,updated_at,docs_count,approved_count,rejected_count,workflow_name,started_at,finished_at,next_action_candidates_users,next_action_candidates_roles,next_action_candidates_companies,next_action_claimed_by,current_round_num,current_step,total_steps,is_archived
ad9f9300-0dd4-4fc1-9466-eb9f0d1903b2,2,f9f15019-4540-4a65-9eac-853a2a2f1564,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,fb3abc2f-13d8-4c92-8074-2b26cfaca407,open,Floor Plans IFC,"",7VZ2Q8PTMR3E7H96,2025-12-17 08:14:33.157,2025-12-14 08:14:34.034,2025-12-14 08:14:34.447,1,,,Simple Review,2025-12-14 08:14:34.034,,"[""7VZ2Q8PTMR3E7H96""]",[],[],,1,1,1,f
48a02581-7d06-4c9e-9848-f8f395a1782a,1,71140113-7013-40d1-86ee-d95facaa2406,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,fb3abc2f-13d8-4c92-8074-2b26cfaca407,closed,Spec Review,"",7VZ2Q8PTMR3E7H96,,2025-12-10 09:49:21.023,2025-12-14 23:41:50.694,1,1,0,Simple Review,2025-12-10 09:49:21.023,2025-12-14 23:41:50.693,,,,,1,1,1,f
