id,version,name,description,parent_id,created_at,created_by,updated_at,updated_by,deleted_at,deleted_by,bim360_account_id,bim360_project_id,uid,category_type,parent_uid
1,1,ROOT,Auto-generated ROOT category for Assets Category Hierarchy,,2023-01-05 07:40:12,7G5ALB7C2DNA,2023-01-05 07:40:12,7G5ALB7C2DNA,,,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,62f5dc6a-e63e-4526-bf9c-0a47d0bfdd81,asset,
34,34,Walls,,1,2024-03-06 02:49:59,7VZ2Q8PTMR3E7H96,2024-03-06 02:49:59,7VZ2Q8PTMR3E7H96,,,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,5c400683-ec83-4507-8535-a032453ead5f,asset,62f5dc6a-e63e-4526-bf9c-0a47d0bfdd81
35,35,Windows,,1,2024-03-06 02:51:16,7VZ2Q8PTMR3E7H96,2024-03-06 02:51:16,7VZ2Q8PTMR3E7H96,,,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,3c3cf3a6-26b5-4c80-97c6-24db69348bce,asset,62f5dc6a-e63e-4526-bf9c-0a47d0bfdd81
36,36,Tower B,,1,2024-08-22 06:30:38,7VZ2Q8PTMR3E7H96,2024-08-22 06:30:38,7VZ2Q8PTMR3E7H96,,,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,7e016e85-faf9-4b68-a98a-d6fa7e44c4ca,asset,62f5dc6a-e63e-4526-bf9c-0a47d0bfdd81
37,37,Fire,,36,2024-08-22 06:38:43,7VZ2Q8PTMR3E7H96,2024-08-22 06:38:43,7VZ2Q8PTMR3E7H96,,,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,b5d04ecc-ca86-4de9-bff1-263fac287a79,asset,7e016e85-faf9-4b68-a98a-d6fa7e44c4ca
38,38,Mechanical Equipment,,1,2025-12-15 03:05:52,7VZ2Q8PTMR3E7H96,2025-12-15 03:05:52,7VZ2Q8PTMR3E7H96,,,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,ad2c0fb5-db2e-42dd-9320-438ecde644f1,asset,62f5dc6a-e63e-4526-bf9c-0a47d0bfdd81
226871,226871,ROOT,Auto-generated ROOT category for 'system' Category Hierarchy,,2024-03-06 02:44:59,7G5ALB7C2DNA,2024-03-06 02:44:59,7G5ALB7C2DNA,,,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,fe98973d-e01f-4a14-b9ec-a184fb648219,system,
474796,476166,Test,,226871,2024-08-16 04:34:20,7VZ2Q8PTMR3E7H96,2024-08-16 04:34:20,7VZ2Q8PTMR3E7H96,,,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,59abd8be-1af8-4fd2-a31e-1a3241cc2d32,system,fe98973d-e01f-4a14-b9ec-a184fb648219
