id,schedule_id,bim360_account_id,bim360_project_id,source_unique_id,target_unique_id,type,created_at,updated_at
3c642697-d8b0-4c97-94b2-96e9d3c83f40,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,35,310,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
82ae36a0-2527-4884-8159-784cffadc1f3,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,39,38,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
61334281-2592-49b2-803e-4b7fc57f76a7,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,36,39,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
fa054568-1dc2-4ef5-8003-45c1be6075f1,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,34,37,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
c2646329-215c-499b-a01b-35e36e1d2913,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,36,34,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
1195beb0-6dae-4b24-9a2c-5e6db53949d2,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,12,13,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
3131d50a-6c10-4ec3-8bf5-192367b99d9e,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,282,291,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
9f027345-8a77-4e65-8c43-c23d77a02bc9,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,21,22,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
2f3efeab-b127-46ac-9e8b-2c288d0fa91d,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,276,282,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
592ff888-e59d-4655-aca0-076ebbbe1dee,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,14,16,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
eeda5dcb-c125-428e-8023-ce24ff48489e,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,275,277,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
72fa8313-f156-412e-80f3-cf6e352c3f9b,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,29,30,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
8e3304e6-9aa5-443c-a855-f1b7afcf5c45,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,33,35,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
9fb067c3-704b-4bfb-b6af-89607a2f770a,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,5,6,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
1dc9cb32-3262-42b9-a94c-e40f7899a4e0,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,273,262,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
60af7120-b6e2-49bc-a390-d1ef6de42284,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,30,31,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
44556754-384f-4001-a4f7-6aa78844cc72,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,285,278,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
cee38243-fc3f-4daa-a9cc-e12b5ce00313,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,293,15,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
85cf3c0c-1010-46e5-bd50-fe776a81bf7d,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,6,280,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
a9d9cca8-79c2-419d-b0bc-b84f639ed0d0,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,273,2,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
5c3b6bd2-4f5d-4c16-9147-9669afc50226,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,28,29,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
3763c501-7b5f-4b04-ad6f-1601b48fcebb,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,31,32,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
eb701a18-daef-4b83-8ad1-4c328597415a,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,18,19,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
6fb13c00-f3ff-40a0-8ae9-3ca88bb144bd,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,291,12,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
ae6f0a3c-3434-4b8d-bac9-9b3ecb8ab080,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,284,146,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
be005e34-97ad-4c2e-a365-f8078ff7724a,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,147,19,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
8364a327-2c78-4a53-a269-9b05cc05f340,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,277,282,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
3b5cd750-2922-4e99-812e-3969aa51ed70,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,285,12,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
15f83a95-8c60-429f-936f-8826cdd5887f,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,281,294,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
82e50471-d556-49ac-bbc4-cb11118c7581,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,18,21,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
48d2b253-3e8b-4098-b469-936d0743a680,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,14,153,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
4b50f4b3-dbd2-41ef-94c3-f79b644df608,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,275,282,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
42b747b4-1705-4ca6-a13f-8e455c9f5e97,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,31,33,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
c85352f3-1e50-4a64-b5ba-0278f816dc03,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,16,17,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
a6fb122a-3381-48f9-802e-c52e2d4ffe55,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,21,25,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
