id,bim360_account_id,bim360_project_id,meeting_id,order_index,name,created_by,updated_by,created_at,updated_at,deleted_at
5a2b34d6-44d5-477d-836a-0dfb66914c3e,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,77b45071-7c96-4029-9531-659f7be81cce,7,Digital / BIM Coordination,7VZ2Q8PTMR3E7H96,7VZ2Q8PTMR3E7H96,2025-07-26 03:31:12,2025-07-26 03:59:03,2025-07-26 03:59:03
b7d1588e-3e43-4e53-9720-f6fc10fa4a6f,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,77b45071-7c96-4029-9531-659f7be81cce,10,Safety & Compliance,7VZ2Q8PTMR3E7H96,7VZ2Q8PTMR3E7H96,2025-07-26 03:32:32,2025-07-26 03:59:03,2025-07-26 03:59:03
d4587e8c-1938-4f7a-b9a0-124ae1543186,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,77b45071-7c96-4029-9531-659f7be81cce,9,Safety & Compliance,7VZ2Q8PTMR3E7H96,7VZ2Q8PTMR3E7H96,2025-07-26 03:32:32,2025-07-26 03:59:03,2025-07-26 03:59:03
20a4616e-6d68-434b-954b-364c71e71b93,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,77b45071-7c96-4029-9531-659f7be81cce,8,Commercial & Cost Implications,7VZ2Q8PTMR3E7H96,7VZ2Q8PTMR3E7H96,2025-07-26 03:32:02,2025-07-26 03:59:03,2025-07-26 03:59:03
86e989a2-1504-40bc-9680-62ffb43dd447,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,797f5d85-6961-44bb-9cc6-a6eedf942af2,1,Welcome & Purpose,7VZ2Q8PTMR3E7H96,7VZ2Q8PTMR3E7H96,2025-07-26 04:07:25,2025-07-26 04:07:25,
ffcaa72a-11b7-4675-b124-79154a0979a6,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,797f5d85-6961-44bb-9cc6-a6eedf942af2,2,Architectural UpdatesStair-core optimisation – 150 mm wall-thickness reduction adds ≈ 5 m² NLA per f,7VZ2Q8PTMR3E7H96,7VZ2Q8PTMR3E7H96,2025-07-26 04:08:34,2025-07-26 04:10:49,2025-07-26 04:10:49
29ba4166-d961-4ab4-8259-70daf74272c7,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,797f5d85-6961-44bb-9cc6-a6eedf942af2,2,Architectural Updates,7VZ2Q8PTMR3E7H96,7VZ2Q8PTMR3E7H96,2025-07-26 04:11:00,2025-07-26 04:11:00,
6e8de2e8-54a6-4fd9-808e-a6cb044d8a4f,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,797f5d85-6961-44bb-9cc6-a6eedf942af2,3,Structural Coordination,7VZ2Q8PTMR3E7H96,7VZ2Q8PTMR3E7H96,2025-07-26 04:16:25,2025-07-26 04:21:26,2025-07-26 04:21:26
09b449fd-3fc9-484b-859b-23f0c1814086,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,797f5d85-6961-44bb-9cc6-a6eedf942af2,3,Structural Coordination,7VZ2Q8PTMR3E7H96,7VZ2Q8PTMR3E7H96,2025-07-26 04:21:35,2025-07-26 04:21:35,
b9bffa61-be1f-4cf3-9ccb-69bb61210b55,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,797f5d85-6961-44bb-9cc6-a6eedf942af2,4,Raj to Building Services (MEP)provide preliminary transfer-beam shop drawings (Due 05 Aug 2025),7VZ2Q8PTMR3E7H96,7VZ2Q8PTMR3E7H96,2025-07-26 04:31:10,2025-07-26 04:32:04,2025-07-26 04:32:04
