id,bim360_account_id,bim360_project_id,meeting_id,autodesk_id,type,status,created_by,updated_by,created_at,updated_at,deleted_at
e9d65c27-b941-45ee-9c36-da2368224391,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,3daa96e8-00ea-452e-8bb9-b794629a09b4,7VZ2Q8PTMR3E7H96,organizer,,7VZ2Q8PTMR3E7H96,7VZ2Q8PTMR3E7H96,2023-10-03 02:13:15,2023-10-03 02:13:15,
5a6755c5-3c42-416f-b34f-0d07182f5983,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,969a33ec-c1bd-4c4f-bcc1-fe3fa0ed838c,7VZ2Q8PTMR3E7H96,organizer,missing,7VZ2Q8PTMR3E7H96,7VZ2Q8PTMR3E7H96,2025-10-07 07:11:54,2025-10-07 07:11:54,
5ebbfbe7-0eed-4ac8-ad89-cc43bd80325c,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,47d76862-4610-491b-a0cd-bee5e51ecf39,7VZ2Q8PTMR3E7H96,organizer,missing,7VZ2Q8PTMR3E7H96,7VZ2Q8PTMR3E7H96,2025-07-14 04:13:21,2025-07-14 04:13:21,
bdf9bb3e-ce50-46af-8e03-54925510a4cd,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,77b45071-7c96-4029-9531-659f7be81cce,7VZ2Q8PTMR3E7H96,organizer,,7VZ2Q8PTMR3E7H96,7VZ2Q8PTMR3E7H96,2025-07-26 03:01:23,2025-07-26 03:59:03,2025-07-26 03:59:03
1318317e-6fe4-458a-a656-8a2c30d1ec56,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,797f5d85-6961-44bb-9cc6-a6eedf942af2,7VZ2Q8PTMR3E7H96,organizer,,7VZ2Q8PTMR3E7H96,7VZ2Q8PTMR3E7H96,2025-07-26 03:59:08,2025-07-26 03:59:08,
